,title,genres,developer,publisher,release_date
7333,Yore VR,"['Action', ' Adventure', ' Indie', ' RPG', ' Simulation', ' Early Access']",Tectonic VR,Tectonic VR,2016-10-12
7336,Extreme Skiing VR,"['Adventure', ' Sports']",乐客游戏,乐客游戏,2016-10-20
7351,Million Dollar Duck,,,,2016-08-09
7353,,,,,
7357,Escape Bloody Mary,"['Adventure', ' Indie', ' Simulation']",Well Told Entertainment,Well Told Entertainment,2016-10-25
7368,Hoverboards VR,"['Action', ' Indie']",Mike Harris,Mike Harris Design,2016-10-26
7376,ALICE VR,"['Adventure', ' Indie']",Carbon Studio,Klabater,2016-10-27
7387,,,,,
7390,Killing Zombies,"['Action', ' Indie']",FRS Game Studio,"Front Range Software, LLC",2016-10-27
7391,,,,,
7413,,,,,
7415,,,,,
7419,,,,,
7421,Kitten Cannon,['Casual'],Chris Gallello,Mr. Paws,2016-10-31
7423,VR RunningJoe,"['Casual', ' Racing']",ELIOT,ELIOT,2016-10-26
7430,3dSunshine,"['Animation & Modeling', ' Design & Illustration', ' Utilities', ' Early Access']",Vain Media LLC,Vain Media LLC,2016-11-01
7431,The Journey,"['Adventure', ' Casual', ' Indie', ' Simulation']",Mugurel-Adrian Enache,MD Lab Games,2016-10-28
7440,,,,,
7444,God Of Arrows VR,"['Action', ' Casual', ' Indie', ' Simulation', ' Early Access']",Reactor Entertainment,Reactor Entertainment,2016-11-02
7449,VRCapture,"['Utilities', ' Video Production']",XR Team,XR Team,2016-11-03
7450,VRMark,['Utilities'],Futuremark,Futuremark,2016-11-03
7464,Steam Dev Days,,,,2016-11-03
7468,Pass the Light,,,,2016-08-17
7469,Lifeliqe VR Museum,"['Free to Play', ' Simulation']","Lifeliqe, Inc.","Lifeliqe, Inc.",2016-11-04
7480,Across,"['Action', ' Indie']",Jonathan Sprauel Games,Jonathan Sprauel Games,2016-11-04
7481,,,,,
7484,Constricting Cubes,"['Action', ' Casual', ' Indie', ' Strategy']",D.W.S.,D.W.S.,2016-11-07
7514,Calcflow,"['Design & Illustration', ' Education', ' Software Training', ' Utilities']",Nanome,Nanome,2016-11-10
7518,Viking Escape,"['Adventure', ' Indie']",Viktor Pekar,Viktor Pekar,2016-11-10
7519,,,,,
7532,,,,,
7543,Very Real Chess,"['Indie', ' Simulation', ' Sports', ' Strategy']",Zachary Geier,Zachary Geier,2016-11-11
7544,,,,,
7571,,,,,
7572,Google Earth VR,"['Adventure', ' Casual', ' Free to Play', ' Simulation']",Google,Google,2016-11-16
7584,,,,,
